f,ax,ay,az,mx,my,mz,gx,gy,gz,t,p,h
10656,-0.48,0.18,9.82,9.83,-32.67,20.00,23.00,-30.00,2.00,35.70,101271,-0.66
10680,-0.48,0.13,9.86,9.50,-33.17,19.83,22.00,-31.00,2.00,35.70,101280,-1.47
10702,-0.48,0.18,9.73,9.83,-32.50,19.50,23.00,-31.00,3.00,35.70,101290,-2.37
10729,-0.48,0.18,9.91,10.17,-32.83,19.50,22.00,-32.00,1.00,35.70,101277,-1.20
10753,-0.48,0.22,9.82,9.83,-32.83,19.50,22.00,-30.00,2.00,35.70,101277,-1.20
10775,-0.44,0.18,9.91,9.83,-33.00,19.83,22.00,-32.00,3.00,35.70,101261,0.23
10799,-0.53,0.18,9.91,10.00,-32.50,19.83,21.00,-31.00,2.00,35.70,101274,-0.93
10821,-0.44,0.18,9.86,9.83,-32.50,19.83,21.00,-29.00,2.00,35.70,101284,-1.83
10845,-0.44,0.13,9.86,9.83,-32.33,19.83,21.00,-29.00,2.00,35.70,101271,-0.66
10871,-0.53,0.22,9.82,9.83,-32.67,19.67,22.00,-30.00,1.00,35.70,101284,-1.83
10894,-0.53,0.18,9.82,9.83,-32.33,19.67,22.00,-30.00,3.00,35.70,101274,-0.93
10917,-0.48,0.22,9.86,9.83,-33.00,19.67,22.00,-32.00,2.00,35.70,101274,-0.93
10940,-0.48,0.13,9.86,9.67,-32.83,19.33,23.00,-31.00,2.00,35.70,101290,-2.37
10963,-0.53,0.18,9.73,9.33,-33.00,19.67,23.00,-31.00,2.00,35.70,101271,-0.66
10986,-0.53,0.22,9.86,9.83,-32.67,19.50,22.00,-32.00,2.00,35.70,101284,-1.83
11010,-0.39,0.09,9.77,9.67,-33.00,19.67,23.00,-31.00,3.00,35.70,101287,-2.10
11036,-0.48,0.22,9.82,9.33,-32.83,19.83,22.00,-30.00,3.00,35.70,101267,-0.31
11072,-0.48,0.18,9.77,10.17,-33.00,20.00,21.00,-30.00,2.00,35.70,101267,-0.31
11098,-0.57,0.18,9.91,9.33,-33.00,19.67,21.00,-31.00,2.00,35.70,101271,-0.66
11120,-0.44,0.13,9.86,9.83,-32.83,20.00,23.00,-30.00,2.00,35.70,101280,-1.47
11144,-0.57,0.18,9.86,10.00,-32.50,20.00,22.00,-30.00,2.00,35.70,101274,-0.93
11166,-0.48,0.18,9.77,10.00,-32.67,20.00,22.00,-30.00,2.00,35.70,101261,0.23
11201,-0.48,0.22,9.86,9.67,-32.83,19.17,22.00,-32.00,3.00,35.70,101267,-0.31
11224,-0.53,0.26,9.69,9.83,-33.50,19.67,23.00,-33.00,2.00,35.70,101264,-0.04
11247,-0.53,0.13,9.82,10.00,-33.00,19.50,20.00,-29.00,3.00,35.70,101277,-1.20
11270,-0.44,0.13,9.82,9.17,-32.67,19.67,22.00,-34.00,2.00,35.70,101290,-2.37
11293,-0.48,0.22,9.69,10.00,-32.83,19.83,22.00,-29.00,1.00,35.70,101277,-1.20
11316,-0.44,0.18,10.04,10.00,-32.67,19.17,22.00,-33.00,3.00,35.70,101284,-1.83
11339,-0.44,0.13,9.86,10.17,-32.50,19.67,23.00,-33.00,3.00,35.70,101277,-1.20
11366,-0.48,0.18,9.77,10.33,-32.83,19.67,20.00,-31.00,2.00,35.70,101277,-1.20
11389,-0.44,0.13,9.73,10.00,-32.83,18.83,24.00,-32.00,3.00,35.70,101274,-0.93
11412,-0.53,0.13,9.77,9.67,-32.67,19.33,21.00,-30.00,2.00,35.70,101271,-0.66
11435,-0.48,0.22,10.04,9.50,-32.33,19.50,21.00,-29.00,2.00,35.70,101271,-0.66
11458,-0.48,0.13,9.86,9.67,-33.17,19.50,22.00,-30.00,2.00,35.70,101277,-1.20
11481,-0.57,0.13,9.64,9.50,-32.50,19.50,22.00,-29.00,3.00,35.70,101274,-0.93
11507,-0.53,0.22,9.86,9.83,-33.00,19.50,22.00,-30.00,2.00,35.70,101271,-0.66
11531,-0.48,0.13,9.77,9.50,-32.50,19.33,22.00,-29.00,1.00,35.70,101264,-0.04
11553,-0.53,0.18,9.86,9.83,-32.50,20.00,22.00,-30.00,3.00,35.70,101267,-0.31
11577,-0.48,0.18,9.86,9.67,-33.00,19.67,22.00,-30.00,2.00,35.70,101271,-0.66
11599,-0.39,0.18,9.64,9.67,-32.67,19.83,23.00,-31.00,2.00,35.70,101274,-0.93
11623,-0.48,0.22,9.99,9.67,-33.17,19.50,21.00,-30.00,3.00,35.70,101274,-0.93
11645,-0.48,0.22,9.86,9.67,-32.83,19.83,22.00,-30.00,3.00,35.70,101274,-0.93
11672,-0.48,0.18,9.91,9.50,-33.00,19.83,22.00,-30.00,2.00,35.70,101277,-1.20
11696,-0.48,0.13,9.86,9.83,-32.83,19.67,21.00,-32.00,3.00,35.70,101284,-1.83
11718,-0.44,0.13,9.73,9.67,-33.00,19.83,21.00,-31.00,2.00,35.70,101287,-2.10
11742,-0.53,0.13,9.86,10.17,-32.33,19.50,21.00,-31.00,2.00,35.70,101277,-1.20
11764,-0.53,0.22,9.95,9.67,-32.83,19.17,23.00,-30.00,2.00,35.70,101271,-0.66
11788,-0.44,0.18,9.77,9.83,-32.67,19.33,22.00,-30.00,2.00,35.70,101277,-1.20
11810,-0.53,0.18,9.91,9.50,-32.83,19.67,22.00,-31.00,2.00,35.70,101284,-1.83
11837,-0.48,0.18,9.69,9.83,-32.50,19.67,22.00,-31.00,1.00,35.70,101274,-0.93
11860,-0.48,0.13,9.77,9.67,-32.67,19.67,20.00,-31.00,1.00,35.70,101284,-1.83
